Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
20010910,LSS,9,0.740,2.62857,3.31200
20010914,SF,1,0.006,0.38794,0.31035
20010914,BP,1,-0.029,-1.49063,-0.71550
20010917,EC,1,-0.021,-1.17067,-1.05360
20011004,LLG,2,1.907,0.63407,1.52176
20011026,LES,6,0.107,0.52400,0.62880
20011204,BAX,4,-0.278,-2.24839,-1.11880
20011212,BAX,4,0.072,0.56350,0.28040
20020107,ES,1,-63.187,-0.90410,-1.26574
20020107,W2,3,-16.930,-0.35479,-1.02180
20020108,ED,4,-0.072,-0.92375,-0.29560
20020109,AD,2,-0.016,-1.07793,-1.29352
20020110,SB2,5,-0.456,-0.38210,-1.03166
20020201,HG2,3,-2.303,-0.18734,-0.69690
20020213,LB,1,8.832,0.66657,0.38661
20020225,TU2,2,-0.687,-6.13244,-1.10384
20020307,AD,2,0.042,2.76593,3.31912
20020315,S2,3,-12.345,-0.18301,-0.74670
20020319,HG2,3,-3.885,-0.31492,-1.17150
20020319,CL2,1,-0.254,-0.05764,-0.10376
20020328,SI2,3,-16.896,-0.07554,-1.01976
20020402,HO2,1,-0.060,-0.64744,-1.01000
20020403,GO,2,-15.373,-0.48960,-1.23380
20020403,GC2,3,11.176,0.17384,1.33512
20020403,LES,4,2.492,12.45050,9.96040
20020415,ED,3,1.601,19.98562,4.79655
20020422,CD,3,0.009,0.94380,1.13256
20020422,BP,2,0.114,5.90792,5.67160
20020425,S2,3,-20.885,-0.30860,-1.25910
20020429,TU2,2,3.454,30.68000,5.52240
20020430,SF,1,0.057,3.57244,2.85795
20020501,NG2,1,-0.327,-1.56076,-1.31104
20020506,EC,1,0.075,4.15394,3.73855
20020513,CL2,1,-0.860,-0.19222,-0.34600
20020515,HO2,1,-0.052,-0.56343,-0.87894
20020516,S2,3,10.588,0.15423,0.62925
20020520,JY,1,0.045,1.80399,2.23695
20020521,SI2,2,9.500,0.04178,0.37600
20020523,NK,1,-472.850,-1.18463,-0.94770
20020604,HG2,3,-2.391,-0.19444,-0.72330
20020605,TY2,1,9.634,8.75341,3.85150
20020617,GBS,7,0.980,2.50103,2.73112
20020617,LEU,6,0.456,2.26775,2.72130
20020617,LSS,9,0.812,2.88643,3.63690
20020624,CD,3,-0.006,-0.61160,-0.73392
20020627,BAX,4,0.257,2.05064,1.02040
20020701,S2,3,17.512,0.25607,1.04475
20020711,W2,3,12.382,0.25589,0.73695
20020712,SB2,5,-0.379,-0.31788,-0.85829
20020715,LLG,2,1.570,0.52180,1.25232
20020722,RR2,5,-38.800,-0.78100,-1.56200
20020814,S2,2,-18.045,-0.26684,-0.72580
20020815,CL2,1,0.930,0.20564,0.37016
20020816,GO,2,11.502,0.36357,0.91620
20020903,W2,3,26.880,0.55792,1.60680
20020904,LLG,2,-0.902,-0.30240,-0.72576
20020904,GBS,6,0.146,0.36282,0.33960
20020904,LEU,5,0.058,0.27900,0.27900
20020904,SB2,5,1.038,0.85720,2.31445
20020906,HO2,1,-0.033,-0.35474,-0.55339
20020911,S2,2,-23.627,-0.34893,-0.94910
20020920,LSS,8,-0.161,-0.59036,-0.66120
20021015,NG2,1,-0.560,-2.66905,-2.24200
20021029,BAX,3,0.138,1.09646,0.40920
