Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
20010627,RR2,-3,-117.280,2.34060,2.80872
20010702,LSS,-10,0.182,-0.66500,-0.93100
20010719,CL2,-1,1.652,-0.36829,-0.66292
20010719,NK,-1,535.000,-1.34000,-1.07200
20010725,FCE,-1,285.535,-1.36207,-1.14414
20010813,NQ,-1,-280.735,2.80485,2.24388
20010813,CT2,-2,-8.494,2.65138,3.39376
20010820,FCE,-1,-786.775,3.74417,3.14510
20010820,ES,-1,-129.975,1.85536,2.59751
20010820,NK,-1,-1150.250,2.87312,2.29850
20010823,NG2,-1,-0.531,2.52448,2.12056
20010910,HG2,-4,-1.962,0.15661,0.77680
20010914,CD,-3,-0.005,0.46530,0.55836
20010917,W2,-3,9.780,-0.20583,-0.59280
20010919,SB2,-4,-0.441,0.36208,0.78209
20010920,AD,-1,0.011,-0.70533,-0.42320
20010920,LB,-1,-34.000,2.57586,1.49400
20010925,PA2,-1,-58.763,1.46784,2.34854
20010925,GO,-2,-3.075,0.09603,0.24200
20010925,CL2,-1,-3.089,0.68542,1.23376
20010925,HO2,-1,-0.095,1.02401,1.59746
20011022,PA2,-1,43.800,-1.09625,-1.75400
20011022,S2,-2,12.470,-0.18485,-0.50280
20011101,PA2,-1,37.139,-0.92971,-1.48754
20011115,GO,-1,3.885,-0.12492,-0.15740
20011130,NG2,-1,-0.206,0.97843,0.82188
20011207,JY,-1,-0.043,1.72540,2.13950
20011226,EC,-1,0.024,-1.32706,-1.19435
20020104,RR2,-5,-46.495,0.92490,1.84980
20020118,CD,-3,0.010,-0.97790,-1.17348
20020123,GBS,-5,-0.280,0.70436,0.54940
20020128,EC,-1,0.018,-1.01911,-0.91720
20020128,SF,-1,0.012,-0.76538,-0.61230
20020228,SB2,-5,0.587,-0.49036,-1.32398
20020308,LEU,-5,0.040,-0.20825,-0.20825
20020308,LLG,-1,1.055,-0.35323,-0.42388
20020312,TY2,-1,1.964,-1.78992,-0.78756
20020312,W2,-3,17.213,-0.36068,-1.03875
20020321,BAX,-4,0.148,-1.20820,-0.60120
20020325,LSS,-8,0.318,-1.14857,-1.28640
20020405,PA2,-1,11.976,-0.30065,-0.48104
20020409,W2,-3,1.178,-0.02661,-0.07665
20020412,NQ,-1,-24.995,0.24745,0.19796
20020422,CT2,-2,-0.146,0.04256,0.05448
20020429,ES,-1,29.243,-0.41918,-0.58685
20020604,FCE,-1,-222.970,1.05938,0.88988
20020604,ES,-1,-174.300,2.48857,3.48400
20020605,LB,-1,23.714,-1.80244,-1.04542
20020610,NQ,-1,-124.470,1.24220,0.99376
20020612,PA2,-1,-4.400,0.10875,0.17400
20020704,FCE,-1,191.225,-0.91298,-0.76690
20020712,FCE,-1,-223.990,1.06424,0.89396
20020717,LB,-1,-26.587,2.01350,1.16783
20020722,NK,-1,-437.250,1.09062,0.87250
20020801,HG2,-3,3.072,-0.24935,-0.92760
20020806,NG2,-1,0.381,-1.81843,-1.52748
20020919,FCE,-1,62.005,-0.29764,-0.25002
20020924,NQ,-1,96.410,-0.96660,-0.77328
20020925,HG2,-3,1.866,-0.15206,-0.56565
20020930,PA2,-2,-65.856,1.64514,5.26444
20021003,NK,-1,146.250,-0.36812,-0.29450
20021007,ES,-1,57.810,-0.82729,-1.15820
20021007,RR2,-4,12.485,-0.25470,-0.40752
20021009,SI2,-3,15.990,-0.07151,-0.96540
20021016,JY,-1,0.022,-0.87629,-1.08660
20021112,NK,-1,538.200,-1.34800,-1.07840
20021112,LB,-1,20.646,-1.56970,-0.91043
20021218,RR2,-5,28.095,-0.56690,-1.13380
20021219,NK,-1,497.200,-1.24550,-0.99640
20021219,LB,-2,23.100,-1.75586,-2.03680
20021230,W2,-2,-32.688,0.67891,1.30350
20030131,NK,-1,-30.250,0.07312,0.05850
20030213,FCE,-1,-82.140,0.38876,0.32656
20030311,ES,-1,50.980,-0.72971,-1.02160
20030312,NQ,-1,102.655,-1.02905,-0.82324
20030313,PA2,-1,-66.657,1.66518,2.66428
20030313,BAX,-5,0.144,-1.17444,-0.73050
20030425,NK,-1,375.000,-0.94000,-0.75200
20030506,LB,-1,20.439,-1.55399,-0.90132
20030509,SB2,-4,0.239,-0.20165,-0.43557
20030602,CT2,-2,1.644,-0.51694,-0.66168
20030630,NG2,-1,-0.167,0.79324,0.66632
20030804,LSS,-9,-0.051,0.16929,0.21330
20030819,SF,-1,0.012,-0.73650,-0.58920
20030828,LLG,-1,1.150,-0.38503,-0.46204
20030829,EC,-1,0.030,-1.68956,-1.52060
20030829,LEU,-8,0.110,-0.56000,-0.89600
20030903,NG2,-1,0.300,-1.43314,-1.20384
20030903,BP,-1,0.045,-2.32781,-1.11735
20030903,TU2,-2,0.562,-5.01680,-0.90302
20030903,GBS,-6,0.482,-1.24949,-1.16952
20030903,TY2,-1,2.902,-2.64233,-1.16263
20030904,SB2,-5,-0.037,0.02674,0.07221
20031006,LSS,-10,-0.066,0.22250,0.31150
20031010,LLG,-1,-0.319,0.10483,0.12580
20031017,ED,-8,0.160,-2.02500,-1.29600
20031020,LEU,-8,0.083,-0.42750,-0.68400
20031028,NG2,-1,0.509,-2.42810,-2.03960
20031230,SB2,-6,0.002,-0.00578,-0.01872
20040211,CT2,-1,5.274,-1.65138,-1.05688
20040309,W2,-2,26.785,-0.56010,-1.07540
20040310,CT2,-1,-2.034,0.63244,0.40476
20040405,LSS,-12,-0.169,0.58786,0.98760
20040415,CD,-1,-0.005,0.50550,0.20220
20040421,EC,-1,0.043,-2.40106,-2.16095
20040421,SF,-1,0.029,-1.83225,-1.46580
20040422,GC2,-2,2.360,-0.03766,-0.19280
20040429,AD,-1,-0.004,0.24740,0.14844
20040510,JY,-1,0.011,-0.43137,-0.53490
20040510,ED,-8,-0.098,1.20375,0.77040
20040511,ES,-2,40.800,-0.58429,-1.63600
20040512,BP,-1,0.064,-3.32052,-1.59385
20040513,W2,-2,-52.475,1.09115,2.09500
20040514,LLG,-2,0.972,-0.32567,-0.78160
20040602,CT2,-1,-9.633,3.00706,1.92452
20040603,BAX,-6,-0.077,0.60531,0.45180
20040610,TU2,-3,0.300,-2.68976,-0.72624
20040610,GBS,-8,0.161,-0.42615,-0.53184
20040610,LES,-7,0.148,-0.75050,-1.05070
20040614,LEU,-8,0.146,-0.73900,-1.18240
20040701,PA2,-1,7.975,-0.20063,-0.32100
20040713,RR2,-2,34.025,-0.68550,-0.54840
20040722,NQ,-2,7.750,-0.08000,-0.12800
20040723,S2,-1,43.518,-0.64143,-0.87235
20040727,ES,-1,20.572,-0.29532,-0.41345
20040806,NK,-1,288.200,-0.72300,-0.57840
20040813,NG2,-1,-0.433,2.05843,1.72908
20040920,S2,-1,-2.207,0.03099,0.04215
20040924,RR2,-2,18.915,-0.38330,-0.30664
20041001,W2,-2,17.885,-0.37469,-0.71940
20041026,NK,-1,460.850,-1.15463,-0.92370
20041102,CT2,-1,3.664,-1.14822,-0.73486
20041104,W2,-3,-5.015,0.10240,0.29490
20041123,ED,-6,-0.390,4.85375,2.32980
20041202,PA2,-2,-16.992,0.42355,1.35536
20041228,NG2,-1,0.490,-2.33781,-1.96376
20050105,TU2,-3,-0.492,4.34792,1.17394
20050124,RR2,-3,-40.970,0.81440,0.97728
20050207,S2,-2,31.910,-0.47074,-1.28040
20050225,LSS,-15,0.143,-0.52393,-1.10025
20050301,TY2,-2,0.030,-0.03196,-0.02813
20050317,NQ,-2,-12.905,0.12655,0.20248
20050324,JY,-1,0.003,-0.12810,-0.15885
20050404,SB2,-6,0.033,-0.03100,-0.10044
20050421,ES,-2,36.980,-0.52971,-1.48320
20050509,EC,-1,-0.059,3.27894,2.95105
20050513,SF,-1,-0.034,2.13094,1.70475
20050523,GC2,-2,9.635,-0.15133,-0.77480
20050527,BP,-1,-0.040,2.09599,1.00608
20050601,JY,-1,-0.017,0.67000,0.83080
20050602,AD,-1,0.022,-1.44960,-0.86976
20050627,LB,-1,19.290,-1.46683,-0.85076
20050701,PA2,-2,10.657,-0.26768,-0.85656
20050705,SI2,-1,40.500,-0.18044,-0.81200
20050706,AD,-1,0.021,-1.38933,-0.83360
20050708,RR2,-3,37.760,-0.76020,-0.91224
20050720,CT2,-1,1.942,-0.61012,-0.39048
20050726,LB,-1,-17.500,1.32414,0.76800
20050801,ED,-6,0.106,-1.35000,-0.64800
20050808,W2,-2,4.822,-0.10255,-0.19690
20050822,BAX,-6,0.173,-1.40916,-1.05180
20050826,SI2,-2,24.579,-0.10968,-0.98716
20050912,S2,-1,-10.175,0.14816,0.20150
20050913,RR2,-3,46.150,-0.92800,-1.11360
20050926,EC,-1,-0.004,0.19333,0.17400
20050926,JY,-1,-0.048,1.93359,2.39765
20050926,BAX,-5,-0.526,4.21141,2.61950
20050928,SF,-1,0.004,-0.23037,-0.18430
20050928,LEU,-13,-0.397,1.97375,5.13175
20050929,ED,-6,-0.206,2.55375,1.22580
20050930,GBS,-11,-0.474,1.20333,2.06492
20050930,LES,-10,-0.240,1.19200,2.38400
20051004,TU2,-4,-0.068,0.58370,0.21013
20051014,TY2,-2,0.234,-0.21690,-0.19088
20051018,LSS,-13,-0.021,0.05964,0.10855
20051101,W2,-3,-5.720,0.11708,0.33720
20051104,AD,-1,0.009,-0.58520,-0.35112
20051114,CL2,-1,2.640,-0.58778,-1.05800
20051117,BP,-1,0.040,-2.07661,-0.99677
20051124,GO,-1,28.122,-0.89437,-1.12690
20051130,HO2,-1,0.171,-1.83846,-2.86800
20051228,AD,-2,0.018,-1.23667,-1.48400
20060104,NG2,-1,-2.529,12.04043,10.11396
20060119,S2,-2,34.692,-0.51165,-1.39170
20060131,TU2,-4,-0.145,1.27049,0.45738
20060131,GBS,-10,-0.306,0.77128,1.20320
20060202,ED,-7,-0.028,0.32812,0.18375
20060207,BAX,-6,0.138,-1.12942,-0.84300
20060209,HO2,-1,0.099,-1.06690,-1.66436
20060209,TY2,-2,-1.863,1.68878,1.48613
20060217,SF,-1,0.013,-0.83619,-0.66895
20060303,LEU,-10,-0.059,0.28350,0.56700
20060313,JY,-1,0.022,-0.88681,-1.09965
20060317,S2,-2,13.277,-0.19673,-0.53510
20060324,LB,-1,17.026,-1.29508,-0.75115
20060328,AD,-2,0.018,-1.17880,-1.41456
20060330,ED,-8,-0.310,3.84687,2.46200
20060331,TU2,-5,0.084,-0.76825,-0.34571
20060331,LSS,-17,-0.069,0.23214,0.55250
20060403,LLG,-2,-1.242,0.41217,0.98920
20060410,BAX,-6,0.190,-1.54341,-1.15200
20060413,CT2,-2,-2.280,0.70922,0.90780
20060428,NG2,-1,-0.059,0.27967,0.23492
20060504,LES,-8,0.140,-0.71050,-1.13680
20060512,LEU,-11,0.107,-0.54750,-1.20450
20060515,NQ,-2,-45.338,0.45088,0.72140
20060515,TU2,-5,-0.162,1.41859,0.63837
20060515,LB,-1,-16.900,1.27862,0.74160
20060525,SB2,-2,-0.037,0.02666,0.02879
20060601,BAX,-7,-0.142,1.12862,0.98280
20060613,ES,-1,26.670,-0.38243,-0.53540
20060620,LSS,-17,0.138,-0.50893,-1.21125
20060623,TY2,-2,1.135,-1.03651,-0.91213
