Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19920616,NK,-12,-68.900,0.16975,0.04074
19920706,W2,-52,-9.628,0.19849,0.24771
19920708,SI2,-78,-10.117,0.04452,0.39066
19920709,FCE,-79,-125.430,0.59490,0.98695
19920715,LB,-45,3.815,-0.29286,-0.19109
19920721,NK,-11,-775.000,1.93500,0.42570
19920803,S2,-47,4.800,-0.07206,-0.11515
19920806,AD,-71,-0.011,0.74333,0.79165
19920814,LSS,-152,-0.262,0.92036,0.48963
19920821,CT2,-35,0.180,-0.05934,-0.03323
19920824,RR2,-184,-17.000,0.33500,0.61640
19920825,AD,-64,0.008,-0.55113,-0.52909
19920825,LLG,-34,-0.003,-0.00053,-0.00054
19920929,CT2,-36,2.234,-0.70122,-0.40390
19920930,CD,-59,0.010,-0.97840,-0.57726
19921005,S2,-45,24.098,-0.35585,-0.54444
19921006,FCE,-60,88.000,-0.42143,-0.53100
19921007,SB2,-77,0.025,-0.02403,-0.02498
19921008,RR2,-204,-107.500,2.14500,4.37580
19921013,HG2,-58,-1.535,0.12222,0.21975
19921015,SI2,-79,12.580,-0.05636,-0.50086
19921019,BP,-14,-0.040,2.06833,0.34748
19921028,GC2,-77,-1.459,0.02202,0.10850
19921028,AD,-52,0.004,-0.24880,-0.19406
19921102,GO,-81,-9.750,0.30794,0.78570
19921110,SI2,-75,12.000,-0.05378,-0.45375
19921111,CD,-51,0.000,-0.00500,-0.00255
19921118,SF,-13,-0.012,0.73919,0.19219
19921123,BAX,-32,1.000,-8.05466,-0.80160
19921201,CL2,-73,-0.105,0.02229,0.07322
19921201,HO2,-45,0.009,-0.10195,-0.17893
19921229,JY,-25,0.011,-0.44367,-0.34384
19921229,BP,-12,-0.009,0.48990,0.07054
19921230,SI2,-79,13.259,-0.05937,-0.52768
19930105,GC2,-82,4.042,-0.06394,-0.33554
19930105,AD,-42,0.005,-0.32393,-0.20408
19930107,GO,-73,1.250,-0.04127,-0.09490
19930108,CL2,-69,0.212,-0.04816,-0.14952
19930108,HO2,-43,0.012,-0.12565,-0.21071
19930203,SB2,-126,0.377,-0.31656,-0.53846
19930210,RR2,-244,-99.195,1.97890,4.82852
19930218,SI2,-88,1.692,-0.00796,-0.07885
19930309,GC2,-102,5.195,-0.08195,-0.53499
19930405,RR2,-182,11.045,-0.22590,-0.41114
19930407,HG2,-66,-4.179,0.33540,0.68623
19930429,RR2,-161,12.500,-0.25500,-0.41055
19930505,HG2,-58,0.246,-0.02145,-0.03857
19930602,RR2,-145,14.000,-0.28500,-0.41325
19930608,CL2,-68,-1.785,0.39547,1.21013
19930608,CD,-56,0.007,-0.71820,-0.40219
19930609,CT2,-38,0.507,-0.16153,-0.09821
19930611,HO2,-49,-0.022,0.24029,0.45920
19930624,LB,-17,-6.200,0.46689,0.11509
19930625,AD,-35,0.014,-0.90687,-0.47611
19930713,SB2,-45,0.390,-0.32701,-0.19866
19930716,GO,-84,4.810,-0.15429,-0.40824
19930803,CD,-66,-0.011,1.14380,0.75491
19930809,HO2,-55,0.025,-0.27240,-0.58429
19930809,CL2,-65,0.935,-0.20884,-0.61087
19930812,SF,-21,0.024,-1.49406,-0.62751
19930813,CT2,-40,2.944,-0.92297,-0.59070
19930816,BP,-19,0.054,-2.81646,-0.64215
19930831,LES,-122,0.081,-0.41450,-0.25284
19930903,AD,-37,0.006,-0.37980,-0.21079
19930908,CL2,-60,0.707,-0.15829,-0.42738
19930909,GO,-89,5.438,-0.17421,-0.48839
19930930,HG2,-51,1.407,-0.11508,-0.18194
19931001,CD,-59,0.006,-0.58240,-0.34362
19931101,CL2,-52,-2.256,0.50020,1.17047
19931109,HO2,-46,-0.041,0.43960,0.78864
19931109,NK,-19,-1033.000,2.58000,0.98040
19931115,NG2,-35,0.177,-0.84505,-0.62111
19931122,JY,-15,-0.013,0.54230,0.25217
19931202,NG2,-35,-0.117,0.55348,0.40681
19931220,CD,-47,0.011,-1.07250,-0.50408
19931222,GO,-76,4.662,-0.14960,-0.35815
19940207,TU2,-88,-1.290,11.44567,2.26624
19940215,CL2,-46,1.015,-0.22673,-0.46934
19940215,CD,-46,-0.013,1.33070,0.61212
