Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19920103,LLG,37,-0.193,-0.06597,-0.07322
19920115,SP,18,-14.532,-0.20788,-0.65482
19920120,LB,54,7.285,0.54921,0.43003
19920121,JY,29,-0.016,-0.65129,-0.58551
19920227,FCE,85,-76.780,-0.36800,-0.65688
19920303,S2,50,-13.373,-0.19812,-0.33681
19920317,LB,48,-13.226,-1.00680,-0.70073
19920403,HG2,69,-3.407,-0.27633,-0.59107
19920430,FCE,77,-36.560,-0.17648,-0.28536
19920501,CL2,50,0.863,0.19076,0.42920
19920505,NG2,51,0.140,0.66429,0.71145
19920505,HO2,36,0.030,0.32556,0.45709
19920513,ED,71,1.580,19.72000,2.80024
19920514,GO,61,7.082,0.22325,0.42898
19920514,S2,56,-12.760,-0.18912,-0.36008
19920527,NG2,48,-0.108,-0.51690,-0.52104
19920528,SB2,84,0.431,0.35387,0.40128
19920529,BAX,50,1.832,14.71463,2.28812
19920603,S2,51,-18.783,-0.27768,-0.48150
19920605,HG2,82,8.428,0.67806,1.72364
19920608,BP,19,0.085,4.42990,1.01002
19920610,S2,49,-21.285,-0.31449,-0.52393
19920612,TU2,56,1.915,16.99875,2.14184
19920615,CT2,33,-2.263,-0.71022,-0.37500
19920617,TY2,40,3.749,3.40327,1.49744
19920625,SF,23,0.033,2.07169,0.95298
19920626,JY,33,-0.011,-0.46101,-0.47161
19920710,NG2,48,0.178,0.84633,0.85310
19920717,SB2,75,-0.552,-0.46199,-0.46777
19920723,CD,69,-0.005,-0.52280,-0.36073
19920730,SP,20,-11.500,-0.16457,-0.57600
19920820,SF,20,0.017,1.08350,0.43340
19920821,BP,22,0.025,1.27708,0.33715
19920828,NG2,39,0.280,1.33076,1.08989
19920831,JY,31,-0.016,-0.65484,-0.62930
19920903,PA2,162,1.197,0.02869,0.18589
19920903,TU2,63,0.375,3.31111,0.46935
19920908,TY2,42,-1.118,-1.02046,-0.47145
19920909,SF,18,-0.026,-1.61975,-0.58311
19920910,CL2,67,-0.329,-0.07431,-0.22405
19920915,SP,22,-9.076,-0.12994,-0.50025
19920917,LES,65,0.694,3.46050,1.12466
19920923,JY,28,-0.005,-0.20609,-0.17889
19920930,SF,16,-0.032,-1.97894,-0.63326
19921002,TY2,40,-1.381,-1.25995,-0.55438
19921014,LSS,93,1.035,3.68357,1.19900
19921020,LES,58,-0.318,-1.59850,-0.46357
19921106,PA2,133,13.087,0.32594,1.73399
19921109,LB,51,6.112,0.46022,0.34033
19921110,W2,73,1.500,0.02917,0.05110
19921111,LLG,24,-2.667,-0.89067,-0.64128
19921204,LES,50,0.572,2.85000,0.71250
19921207,SP,21,-2.826,-0.04066,-0.14944
19921211,S2,63,-6.957,-0.10379,-0.22231
19921218,LB,50,30.460,2.30731,1.67280
19921221,NK,13,-768.400,-1.92350,-0.50011
19930108,CT2,38,-1.164,-0.36672,-0.22297
19930115,W2,76,-2.000,-0.04375,-0.07980
19930127,LSS,77,-0.069,-0.26071,-0.07026
19930128,TY2,37,2.414,2.19005,0.89135
19930128,LB,44,27.190,2.05924,1.31380
19930129,LLG,23,1.836,0.61043,0.42120
19930202,SP,21,-3.252,-0.04674,-0.17178
19930208,PA2,107,-0.350,-0.01000,-0.04280
19930208,FCE,55,-21.190,-0.10329,-0.11929
19930208,TU2,61,0.476,4.20446,0.57706
19930208,ED,75,0.256,3.17500,0.47625
19930209,LB,40,72.910,5.52766,3.20604
19930219,CT2,39,-1.765,-0.55459,-0.34607
19930226,CD,48,-0.005,-0.51850,-0.24888
19930302,LB,32,34.400,2.60621,1.20928
19930304,SP,22,-5.176,-0.07423,-0.28578
19930304,BAX,34,-0.288,-2.32958,-0.24633
19930315,SB2,108,-0.131,-0.11239,-0.16386
19930318,S2,77,7.885,0.11449,0.29972
19930319,NG2,28,0.379,1.80238,1.05980
19930319,JY,26,0.063,2.52109,2.03200
19930322,AD,40,-0.017,-1.15913,-0.69548
19930322,SB2,94,-0.780,-0.65106,-0.82620
19930326,NK,19,1088.000,2.71750,1.03265
19930405,SB2,82,-0.854,-0.71212,-0.78832
19930405,W2,70,-9.880,-0.20792,-0.34930
19930414,AD,41,-0.015,-1.01667,-0.62525
19930414,LLG,29,-2.050,-0.68507,-0.59601
19930415,GO,72,-1.000,-0.03333,-0.07560
19930415,TU2,60,-0.233,-2.08987,-0.28213
